t, eta
2.774774774774774855e+01,-7.468494223749876267e-03
2.780780780780780859e+01,8.022504789121304505e-03
2.786786786786786863e+01,2.267689835505281096e-02
2.792792792792792866e+01,3.630777137533609811e-02
2.798798798798798870e+01,4.876639339734986645e-02
2.804804804804804874e+01,5.994587993769077278e-02
2.810810810810810878e+01,6.978293722742238969e-02
2.816816816816816882e+01,7.825766900570085838e-02
2.822822822822822886e+01,8.539151959391859392e-02
2.828828828828828890e+01,9.124351731224186746e-02
2.834834834834834894e+01,9.590506191749205434e-02
2.840840840840840897e+01,9.949356529041979147e-02
2.846846846846846901e+01,1.021453029922977235e-01
2.852852852852852905e+01,1.040078633703232780e-01
2.858858858858858909e+01,1.052325894568219289e-01
2.864864864864864913e+01,1.059673968767936292e-01
2.870870870870870917e+01,1.063503193035280625e-01
2.876876876876876921e+01,1.065040836292808490e-01
2.882882882882882924e+01,1.065319527762248059e-01
2.888888888888888928e+01,1.065149985239812469e-01
2.894894894894894932e+01,1.065108839770443905e-01
2.900900900900900936e+01,1.065541497697661405e-01
2.906906906906906940e+01,1.066579143376586575e-01
2.912912912912912944e+01,1.068168209674506680e-01
2.918918918918918948e+01,1.070109969119988208e-01
2.924924924924924952e+01,1.072107360956306987e-01
2.930930930930930955e+01,1.073815795808442386e-01
2.936936936936936959e+01,1.074894488872078779e-01
2.942942942942942963e+01,1.075054873563030533e-01
2.948948948948948967e+01,1.074102839476061694e-01
2.954954954954954971e+01,1.071971910455337407e-01
2.960960960960960975e+01,1.068745010403055473e-01
2.966966966966966979e+01,1.064663127780407503e-01
2.972972972972972983e+01,1.060119949448063287e-01
2.978978978978978986e+01,1.055642350528724904e-01
2.984984984984984990e+01,1.051857456452525152e-01
2.990990990990990994e+01,1.049447792725986123e-01
2.996996996996996998e+01,1.049096765265250530e-01
3.003003003003003002e+01,1.051427331070408921e-01
3.009009009009009006e+01,1.056937192922101643e-01
3.015015015015015010e+01,1.065934157273589616e-01
3.021021021021021014e+01,1.078475414717791764e-01
3.027027027027027017e+01,1.094314429840166497e-01
3.033033033033033021e+01,1.112858864136736237e-01
3.039039039039039025e+01,1.133142513773967575e-01
3.045045045045045029e+01,1.153813644057410798e-01
3.051051051051051033e+01,1.173141373198679088e-01
3.057057057057057037e+01,1.189040934427589291e-01
3.063063063063063041e+01,1.199117767436315707e-01
3.069069069069069045e+01,1.200729500011941259e-01
3.075075075075075048e+01,1.191064021489766089e-01
3.081081081081081052e+01,1.167231062765478472e-01
3.087087087087087056e+01,1.126364020833509477e-01
3.093093093093093060e+01,1.065728231507542950e-01
3.099099099099099064e+01,9.828315274395427181e-02
3.105105105105105068e+01,8.755327368797199972e-02
3.111111111111111072e+01,7.421437899060889798e-02
3.117117117117117076e+01,5.815213018697267672e-02
3.123123123123123079e+01,3.931438881476133351e-02
3.129129129129129083e+01,1.771720109966801529e-02
3.135135135135135087e+01,-6.551215817469978851e-03
3.141141141141141091e+01,-3.332865921337845733e-02
3.147147147147147095e+01,-6.237938561183915820e-02
3.153153153153153099e+01,-9.339681525882344293e-02
3.159159159159159103e+01,-1.260084100138006147e-01
3.165165165165165106e+01,-1.597825573526887588e-01
3.171171171171171110e+01,-1.942372209671812400e-01
3.177177177177177114e+01,-2.288500581583172155e-01
3.183183183183183118e+01,-2.630696582743491385e-01
3.189189189189189122e+01,-2.963275264942955567e-01
3.195195195195195126e+01,-3.280504241510384666e-01
3.201201201201201485e+01,-3.576726805131267284e-01
3.207207207207207489e+01,-3.846481106712708598e-01
3.213213213213213493e+01,-4.084612083020166540e-01
3.219219219219219497e+01,-4.286373283437097670e-01
3.225225225225225500e+01,-4.447516302170497204e-01
3.231231231231231504e+01,-4.564366139824159174e-01
3.237237237237237508e+01,-4.633881463748581453e-01
3.243243243243243512e+01,-4.653699376060361215e-01
3.249249249249249516e+01,-4.622164899478122813e-01
3.255255255255255520e+01,-4.538345925246256574e-01
3.261261261261261524e+01,-4.402034810333990689e-01
3.267267267267267528e+01,-4.213738144789086482e-01
3.273273273273273531e+01,-3.974656423404344663e-01
3.279279279279279535e+01,-3.686655444918582880e-01
3.285285285285285539e+01,-3.352231230397288431e-01
3.291291291291291543e+01,-2.974470110834190884e-01
3.297297297297297547e+01,-2.557005399296998771e-01
3.303303303303303551e+01,-2.103971757201769655e-01
3.309309309309309555e+01,-1.619958013484283643e-01
3.315315315315315559e+01,-1.109958827693444672e-01
3.321321321321321562e+01,-5.793252320721338500e-02
3.327327327327327566e+01,-3.371377103146750744e-03
3.333333333333333570e+01,5.209662962716839207e-02
3.339339339339339574e+01,1.078608432928236799e-01
3.345345345345345578e+01,1.632967672836699857e-01
3.351351351351351582e+01,2.177723614815441910e-01
3.357357357357357586e+01,2.706548149725868657e-01
3.363363363363363590e+01,3.213178259027910100e-01
3.369369369369369593e+01,3.691493884621224186e-01
3.375375375375375597e+01,4.135600460973186121e-01
3.381381381381381601e+01,4.539915245930666310e-01
3.387387387387387605e+01,4.899256114659333305e-01
3.393393393393393609e+01,5.208931022597136362e-01
3.399399399399399613e+01,5.464825929436434304e-01
3.405405405405405617e+01,5.663488636990453573e-01
3.411411411411411621e+01,5.802205756353486787e-01
3.417417417417417624e+01,5.879069906327688555e-01
3.423423423423423628e+01,5.893034271857328088e-01
3.429429429429429632e+01,5.843951827147751965e-01
3.435435435435435636e+01,5.732596854260157970e-01
3.441441441441441640e+01,5.560666856968637939e-01
3.447447447447447644e+01,5.330763566136346165e-01
3.453453453453453648e+01,5.046352433748008126e-01
3.459459459459459651e+01,4.711700788472465984e-01
3.465465465465465655e+01,4.331795641386391726e-01
3.471471471471471659e+01,3.912242947949929328e-01
3.477477477477477663e+01,3.459150911583946941e-01
3.483483483483483667e+01,2.979000615786538964e-01
3.489489489489489671e+01,2.478507858721903101e-01
3.495495495495495675e+01,1.964480504218966694e-01
3.501501501501501679e+01,1.443675930048708977e-01
3.507507507507507682e+01,9.226632299884897359e-02
3.513513513513513686e+01,4.076947012617242183e-02
3.519519519519519690e+01,-9.540917608737339503e-03
3.525525525525525694e+01,-5.813575761522449259e-02
3.531531531531531698e+01,-1.045466973394246213e-01
3.537537537537537702e+01,-1.483716416855550002e-01
3.543543543543543706e+01,-1.892779181607393835e-01
3.549549549549549710e+01,-2.270030539795499513e-01
3.555555555555555713e+01,-2.613532403220059086e-01
3.561561561561561717e+01,-2.921996567676230505e-01
3.567567567567567721e+01,-3.194729189253671664e-01
3.573573573573573725e+01,-3.431559900514369876e-01
3.579579579579579729e+01,-3.632759591324371540e-01
3.585585585585585733e+01,-3.798951303911973776e-01
3.591591591591591737e+01,-3.931018902287355954e-01
3.597597597597597741e+01,-4.030018160661546500e-01
3.603603603603603744e+01,-4.097094673185419089e-01
3.609609609609609748e+01,-4.133412528722240631e-01
3.615615615615615752e+01,-4.140097040910331594e-01
3.621621621621621756e+01,-4.118194006930565587e-01
3.627627627627627760e+01,-4.068647028175798597e-01
3.633633633633633764e+01,-3.992293409123261472e-01
3.639639639639639768e+01,-3.889878108212438956e-01
3.645645645645645772e+01,-3.762084199432518816e-01
3.651651651651651775e+01,-3.609577367813290860e-01
3.657657657657657779e+01,-3.433061154894547218e-01
3.663663663663663783e+01,-3.233339034360198094e-01
3.669669669669669787e+01,-3.011378967994888800e-01
3.675675675675675791e+01,-2.768375892522960124e-01
3.681681681681681795e+01,-2.505807631793097179e-01
3.687687687687687799e+01,-2.225480016949259177e-01
3.693693693693693803e+01,-1.929557517923807253e-01
3.699699699699699806e+01,-1.620576418916345740e-01
3.705705705705705810e+01,-1.301438473510236615e-01
3.711711711711711814e+01,-9.753840072796869654e-02
3.717717717717717818e+01,-6.459445453425791128e-02
3.723723723723723822e+01,-3.168761726644920423e-02
3.729729729729729826e+01,7.924072647378239661e-04
3.735735735735735830e+01,3.245154760557857065e-02
3.741741741741741833e+01,6.290204490389544878e-02
3.747747747747747837e+01,9.177360623776673054e-02
3.753753753753753841e+01,1.187245099306911827e-01
3.759759759759759845e+01,1.434521262590836010e-01
3.765765765765765849e+01,1.657023289423093793e-01
3.771771771771771853e+01,1.852773122564770059e-01
3.777777777777777857e+01,2.020413941111938450e-01
3.783783783783783861e+01,2.159244741895187114e-01
3.789789789789789864e+01,2.269229242465745644e-01
3.795795795795795868e+01,2.350978097953716761e-01
3.801801801801801872e+01,2.405704727524284603e-01
3.807807807807807876e+01,2.435156367008497469e-01
3.813813813813813880e+01,2.441523235513171075e-01
3.819819819819819884e+01,2.427329859462836192e-01
3.825825825825825888e+01,2.395313576015317136e-01
3.831831831831831892e+01,2.348295985134974673e-01
3.837837837837837895e+01,2.289053592297437267e-01
3.843843843843843899e+01,2.220194051190954310e-01
3.849849849849849903e+01,2.144044261951456032e-01
3.855855855855855907e+01,2.062556105284943930e-01
3.861861861861861911e+01,1.977234812343681147e-01
3.867867867867867915e+01,1.889093916200548506e-01
3.873873873873873919e+01,1.798639449457101469e-01
3.879879879879879923e+01,1.705884602681968787e-01
3.885885885885885926e+01,1.610394508630643429e-01
3.891891891891891930e+01,1.511359242839461492e-01
3.897897897897897934e+01,1.407691610609167199e-01
3.903903903903903938e+01,1.298144901283872776e-01
3.909909909909909942e+01,1.181444606192811470e-01
3.915915915915915946e+01,1.056427181507235830e-01
3.921921921921921950e+01,9.221783447300008207e-02
3.927927927927927954e+01,7.781631622251135305e-02
3.933933933933933957e+01,6.243403369452762280e-02
3.939939939939939961e+01,4.612536439432052271e-02
3.945945945945945965e+01,2.900943711037868439e-02
3.951951951951951969e+01,1.127298700272434673e-02
3.957957957957957973e+01,-6.830514402363283520e-03
3.963963963963963977e+01,-2.498561501364054624e-02
3.969969969969969981e+01,-4.282349494540625690e-02
3.975975975975975985e+01,-5.993421255457139635e-02
3.981981981981981988e+01,-7.588216908579145659e-02
3.987987987987987992e+01,-9.022419955514392187e-02
3.993993993993993996e+01,-1.025295419732118046e-01
4.000000000000000000e+01,-1.124008117742899132e-01
4.006006006006006004e+01,-1.194950202660326893e-01
4.012012012012012008e+01,-1.235436303458392754e-01
4.018018018018018012e+01,-1.243706430799877277e-01
4.024024024024024015e+01,-1.219077563680119880e-01
4.030030030030030019e+01,-1.162057309933679228e-01
4.036036036036036023e+01,-1.074412368743099255e-01
4.042042042042042027e+01,-9.591862815899038219e-02
4.048048048048048031e+01,-8.206630293426946110e-02
4.054054054054054035e+01,-6.642753309924613603e-02
4.060060060060060039e+01,-4.964589250229228812e-02
4.066066066066066043e+01,-3.244565604941371251e-02
4.072072072072072046e+01,-1.560777811732239756e-02
4.078078078078078050e+01,5.772563096449036615e-05
4.084084084084084054e+01,1.374198323818311314e-02
4.090090090090090058e+01,2.466890190288528392e-02
4.096096096096096062e+01,3.212697758582119117e-02
4.102102102102102066e+01,3.549997464669288338e-02
4.108108108108108070e+01,3.429517896843937985e-02
4.114114114114114074e+01,2.816799187010960229e-02
4.120120120120120077e+01,1.694175056179662506e-02
4.126126126126126081e+01,6.218298351184235913e-04
4.132132132132132085e+01,-2.059670732993167455e-02
4.138138138138138089e+01,-4.632839403065160816e-02
4.144144144144144093e+01,-7.600378850656090701e-02
4.150150150150150097e+01,-1.088829702197788574e-01
4.156156156156156101e+01,-1.440757358628581286e-01
4.162162162162162105e+01,-1.805678497942413419e-01
4.168168168168168108e+01,-2.172524480410422676e-01
4.174174174174174112e+01,-2.529654739867583935e-01
4.180180180180180116e+01,-2.865238470745841703e-01
4.186186186186186120e+01,-3.167649413593363050e-01
4.192192192192192124e+01,-3.425858843672021647e-01
4.198198198198198128e+01,-3.629811818046242422e-01
4.204204204204204132e+01,-3.770772308632142078e-01
4.210210210210210136e+01,-3.841624021424457358e-01
4.216216216216216139e+01,-3.837115428604905287e-01
4.222222222222222143e+01,-3.754039748969724699e-01
4.228228228228228147e+01,-3.591343210137953879e-01
4.234234234234234151e+01,-3.350157802927346551e-01
4.240240240240240155e+01,-3.033757771137778891e-01
4.246246246246246159e+01,-2.647442138597758676e-01
4.252252252252252163e+01,-2.198348528206338914e-01
4.258258258258258167e+01,-1.695206247782531928e-01
4.264264264264264170e+01,-1.148038987946547324e-01
4.270270270270270174e+01,-5.678293965235342577e-02
4.276276276276276178e+01,3.384081943167064569e-03
4.282282282282282182e+01,6.451608168345807082e-02
4.288288288288288186e+01,1.254455944003443069e-01
4.294294294294294190e+01,1.850534303739130026e-01
4.300300300300300194e+01,2.423001438329878687e-01
4.306306306306306197e+01,2.962531629582095261e-01
4.312312312312312201e+01,3.461086390850462990e-01
4.318318318318318205e+01,3.912073193056990195e-01
4.324324324324324209e+01,4.310440200329551663e-01
4.330330330330330213e+01,4.652705669117541687e-01
4.336336336336336217e+01,4.936923557578326571e-01
4.342342342342342221e+01,5.162589669828968608e-01
